antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_len,consequents_len,antecedents_TF_motif,antecedents_dir,antecedents_time,consequents_TF_motif,consequents_dir,consequents_time,TF_peak_jaccard,peak_adj_lift
HIF1A_pos_1,TFAP2C_pos_1,0.05333333333333334,0.24666666666666667,6,0.75,3.0405405405405403,0.02684444444444444,3.013333333333333,0.7089201877934271,1,1,HIF1A,pos,1,TFAP2C,pos,1,0.014492753623188406,2.99647473560517
NOTO_pos_1,TFAP2C_pos_1,0.10666666666666667,0.24666666666666667,12,0.75,3.0405405405405403,0.05368888888888888,3.013333333333333,0.7512437810945273,1,1,NOTO,pos,1,TFAP2C,pos,1,0.0410958904109589,2.9155868196964088
LHX6_pos_1,TFAP2C_pos_1,0.05333333333333334,0.24666666666666667,6,0.75,3.0405405405405403,0.02684444444444444,3.013333333333333,0.7089201877934271,1,1,LHX6,pos,1,TFAP2C,pos,1,0.030303030303030304,2.9484029484029484
MEF2C_neg_4,FOSL2_pos_1,0.08666666666666667,0.12666666666666668,5,0.3846153846153846,3.0364372469635623,0.022355555555555552,1.4191666666666665,0.7343065693430656,1,1,MEF2C,neg,4,FOSL2,pos,1,0.0,3.0364372469635623
YY1_pos_0,MNX1_neg_1,0.08666666666666667,0.12666666666666668,5,0.3846153846153846,3.0364372469635623,0.022355555555555552,1.4191666666666665,0.7343065693430656,1,1,YY1,pos,0,MNX1,neg,1,0.0,3.0364372469635623
SHOX_neg_1,NFIX_neg_1,0.10666666666666667,0.22666666666666666,11,0.6875,3.0330882352941178,0.049155555555555557,2.474666666666667,0.7503392130257803,1,1,SHOX,neg,1,NFIX,neg,1,0.09090909090909091,2.7573529411764706
ELF3_pos_2,ASCL1_pos_2,0.07333333333333333,0.18,6,0.5454545454545454,3.0303030303030303,0.0268,1.804,0.723021582733813,1,1,ELF3,pos,2,ASCL1,pos,2,0.16216216216216217,2.538902538902539
T_neg_1,HIC2_neg_1,0.07333333333333333,0.18,6,0.5454545454545454,3.0303030303030303,0.0268,1.804,0.723021582733813,1,1,T,neg,1,HIC2,neg,1,0.043478260869565216,2.898550724637681
FOSB_pos_1,EWSR1-FLI1_neg_2,0.07333333333333333,0.18,6,0.5454545454545454,3.0303030303030303,0.0268,1.804,0.723021582733813,1,1,FOSB,pos,1,EWSR1-FLI1,neg,2,0.0,3.0303030303030303
SPDEF_neg_1,ELF5_neg_1,0.08666666666666667,0.15333333333333332,6,0.4615384615384615,3.0100334448160537,0.026711111111111113,1.5723809523809522,0.7311435523114356,1,1,SPDEF,neg,1,ELF5,neg,1,0.10638297872340426,2.6898171208994524
BACH2_neg_2,ZNF740_neg_2,0.09333333333333334,0.16666666666666666,7,0.5,3.0,0.031111111111111114,1.6666666666666667,0.7352941176470589,1,1,BACH2,neg,2,ZNF740,neg,2,0.044444444444444446,2.8666666666666667
TFAP2B_neg_6,ZNF740_neg_2,0.06666666666666667,0.16666666666666666,5,0.5,3.0,0.022222222222222223,1.6666666666666667,0.7142857142857143,1,1,TFAP2B,neg,6,ZNF740,neg,2,0.0,3.0
TCF7L1_pos_4,ZNF740_neg_2,0.08,0.16666666666666666,6,0.5,3.0,0.02666666666666667,1.6666666666666667,0.7246376811594204,1,1,TCF7L1,pos,4,ZNF740,neg,2,0.023255813953488372,2.9302325581395348
FIGLA_pos_2,ZNF740_neg_2,0.08,0.16666666666666666,6,0.5,3.0,0.02666666666666667,1.6666666666666667,0.7246376811594204,1,1,FIGLA,pos,2,ZNF740,neg,2,0.0,3.0
SRY_neg_1,NR2F2_neg_1,0.1,0.13333333333333333,6,0.39999999999999997,3.0,0.026666666666666665,1.4444444444444442,0.7407407407407406,1,1,SRY,neg,1,NR2F2,neg,1,0.058823529411764705,2.8235294117647056
ATF4_pos_1,TFAP2B_pos_1,0.1,0.13333333333333333,6,0.39999999999999997,3.0,0.026666666666666665,1.4444444444444442,0.7407407407407406,1,1,ATF4,pos,1,TFAP2B,pos,1,0.044444444444444446,2.8666666666666667
ATF4_pos_1,TFAP2A_pos_1,0.1,0.13333333333333333,6,0.39999999999999997,3.0,0.026666666666666665,1.4444444444444442,0.7407407407407406,1,1,ATF4,pos,1,TFAP2A,pos,1,0.037037037037037035,2.8888888888888893
FOXP3_pos_2,ASCL1_pos_2,0.08666666666666667,0.18,7,0.5384615384615384,2.9914529914529915,0.03106666666666667,1.7766666666666666,0.7288842544316998,1,1,FOXP3,pos,2,ASCL1,pos,2,0.11904761904761904,2.635327635327635
FOXD2_pos_2,ASCL1_pos_2,0.08666666666666667,0.18,7,0.5384615384615384,2.9914529914529915,0.03106666666666667,1.7766666666666666,0.7288842544316998,1,1,FOXD2,pos,2,ASCL1,pos,2,0.11904761904761904,2.635327635327635
FOXI1_pos_2,ASCL1_pos_2,0.08666666666666667,0.18,7,0.5384615384615384,2.9914529914529915,0.03106666666666667,1.7766666666666666,0.7288842544316998,1,1,FOXI1,pos,2,ASCL1,pos,2,0.11904761904761904,2.635327635327635
FOXO6_pos_2,ASCL1_pos_2,0.08666666666666667,0.18,7,0.5384615384615384,2.9914529914529915,0.03106666666666667,1.7766666666666666,0.7288842544316998,1,1,FOXO6,pos,2,ASCL1,pos,2,0.11904761904761904,2.635327635327635
